,strain,cluster,in_ocs,lean,sweet,strawberry,earthy,blue cheese,sage,honey,rose,tree fruit,violet,coffee,pear,spicy/herbal,tropical,pungent,tea,apricot,mint,pepper,flowery,ammonia,blueberry,berry,chemical,pine,woody,lime,plum,nutty,citrus,orange,mango,diesel,lemon,pineapple,apple,grape,menthol,chestnut,skunk,grapefruit,peach,butter,lavender,tar,tobacco,vanilla,focused,inflammation,dizzy,energetic,lack of appetite,happy,creative,muscle spasms,sleepy,stress,tingly,aroused,anxious,nausea,fatigue,cramps,uplifted,headache,talkative,paranoid,hungry,giggle,depression,relaxed,pain,seizures,euphoric,spasticity,eye pressure,headaches,insomnia,dry eyes,dry mouth,thc_scaled,strain_type,rating (scaled),Rating,NumReviews,Strain_description,THC,sweet_S,strawberry_S,earthy_S,blue cheese_S,sage_S,honey_S,rose_S,tree fruit_S,violet_S,coffee_S,pear_S,spicy/herbal_S,tropical_S,pungent_S,tea_S,apricot_S,mint_S,pepper_S,flowery_S,ammonia_S,blueberry_S,berry_S,chemical_S,pine_S,woody_S,lime_S,plum_S,nutty_S,citrus_S,orange_S,mango_S,diesel_S,lemon_S,pineapple_S,apple_S,grape_S,menthol_S,chestnut_S,skunk_S,grapefruit_S,peach_S,butter_S,lavender_S,tar_S,tobacco_S,vanilla_S,focused_S,inflammation_S,dizzy_S,energetic_S,lack of appetite_S,happy_S,creative_S,muscle spasms_S,sleepy_S,stress_S,tingly_S,aroused_S,anxious_S,nausea_S,fatigue_S,cramps_S,uplifted_S,headache_S,talkative_S,paranoid_S,hungry_S,giggle_S,depression_S,relaxed_S,pain_S,seizures_S,euphoric_S,spasticity_S,eye pressure_S,headaches_S,insomnia_S,dry eyes_S,dry mouth_S
2092,White Widow,3,1,0.5,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.271458336,,,1,0.670059766,,,1,,,0.249946286,,0.377416291,,0.872589105,,,0.264386037,,,0.863176299,0.923393514,0.600121025,,0.839539623,,,,0.488698179,0.525137197,1,0.526143791,hybrid,0.839345638,4.35738255,3685,"Among the most famous strains worldwide is White Widow, a balanced hybrid first bred in the Netherlands by Green House Seeds. A cross between a Brazilian sativa landrace and a resin-heavy South Indian indica,  White Widow has blessed every Dutch coffee shop menu since its birth in the 1990s. Its buds are white with crystal resin, warning you of the potent effects to come. A powerful burst of euphoria and energy breaks through immediately, stimulating both conversation and creativity. White Widow's genetics have given rise to many other legends like White Russian, White Rhino, and Blue Widow. Still, many growers prefer cultivation of the original White Widow, which flowers in about 60 days indoors.",16.5,,,0.000906618,,,,,,,,,,,,,,,,0.000906618,,,,,,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,0.000246109,,,0.000906618,0.000607488,,,0.000906618,,,0.000226606,,0.000342173,,0.000791105,,,0.000239697,,,0.000782571,0.000837165,0.000544081,,0.000761142,,,,0.000443063,0.000476099,0.000906618
2093,White Zombie,1,0,0.5,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097560976,,,1,,,0.8,1,,,,,0.285714286,,,0.012195122,,0.036585366,0.8,,0.535714286,0.96,0.642857143,,0.29,,,,0.321428571,1,0.158536585,0.54248366,hybrid,0.75,4,62,"White Zombie is a potent hybrid strain with cerebrally-focused effects conducive for creative endeavors and stress relief. While this strain likely contains some Zombie OG genetics, it's also possible that White Zombie's maker was just a diehard Rob Zombie fan. Its euphoric and relaxing effects make it a perfect remedy for anxiety and depression, but come prepared with enough lazy activities: the psychoactivity of this strain is long-lasting.",17,0.000906618,,0.000906618,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.85E-05,,,0.000906618,,,0.000725295,0.000906618,,,,,0.000259034,,,1.11E-05,,3.32E-05,0.000725295,,0.000485688,0.000870354,0.000582826,,0.000262919,,,,0.000291413,0.000906618,0.000143732
2094,Whiteout,0,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,0.979166667,,,,,1,0.979166667,,,1,,,,,,,0.979166667,,,,,,1,,,,1,,,,,1,0.068181818,0.607843137,hybrid,0.916666667,4.666666667,9,"Parent strains Super Silver Haze and The White were brought together to create this uplifting hybrid strain. Whiteout delivers intense euphoria paired with an alert, focused effect sure to satisfy your daytime needs. These frosty light green buds shimmer in light and will hit you with a pungenst zesty lemon aroma that would be expected of a Super Silver Haze offspring.",19,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000906618,0.000906618,,,,,,,,,,,,,,,,,0.00088773,,,,,0.000906618,0.00088773,,,0.000906618,,,,,,,0.00088773,,,,,,0.000906618,,,,0.000906618,,,,,0.000906618,6.18E-05
2095,Whitewalker OG,1,0,0.73,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.740134745,,0.696202532,0.537536092,0.82137834,0.296920115,,0.299319728,,,,0.469201155,0.166666667,,0.333333333,,,,1,1,,,,0.571026723,,0.76511955,1,0.867346939,,indica,0.919444444,4.677777778,90,"Whitewalker OG (not to be confused with White Walker Kush) by Gold Coast Collection is an indica variation of the renowned SFV OG Kush. Wrapped in a sparkling coat of crystal trichomes, Whitewalker OG wears its potency like a crown. Not surprisingly, this Los Angeles native earned first place in the 2013 High Times Amsterdam Cannabis Cup and is cherished to this day for its ability to lift the mood with swiftness. Its heavy resin production is treasured by extract artists, and commercial growers will appreciate the high yields offered by this OG phenotype.",,,,0.001666667,0.001666667,,,,,,,,,,,,,,,,,,,,,0.001666667,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001233558,,0.001160338,0.000895893,0.001368964,0.000494867,,0.000498866,,,,0.000782002,0.000277778,,0.000555556,,,,0.001666667,0.001666667,,,,0.000951711,,0.001275199,0.001666667,0.001445578
2096,Wild Thailand,2,0,0.3,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.202247191,1,,0.689873418,0.5,,,1,,,0.157303371,,0.379310345,0.24137931,0.930379747,,0.873417722,0.629213483,,,0.75862069,,1,,,,,,,0.629213483,1,,sativa,0.867647059,4.470588235,17,"Wild Thailand is a Thai landrace preserved and sold by World of Seeds. This 100% sativa landrace hails from the Ko Chang archipelago and offers consumers rich citrus flavors and exhilarating physical effects. Its flowers are dressed in bright orange hairs and a thick white coat of trichomes that contrasts dramatically against the deep emerald hue of the foliage. Wild Thailand is profoundly stimulating and should be avoided by those prone to anxiety. But for consumers looking for dizzying euphoria and stimulating physical effects through-and-through, Wild Thailand is the strain for you.",,0.00234192,,,,,,,,,,,,,,,,,,,,,0.00234192,,,,,,,0.00234192,,,,,,,,,,,,,,,,,,,,0.000473647,0.00234192,,0.001615629,0.00117096,,,0.00234192,,,0.000368392,,0.000888315,0.000565291,0.002178875,,0.002045475,0.001473568,,,0.001776629,,0.00234192,,,,,,,0.001473568,0.00234192
2097,Willie Nelson,3,0,0.4,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.835329341,,1,0.97754491,,,0.946624804,,,0.081521739,,0.375196232,,0.791916168,1,,0.244565217,,,0.821036107,,1,,1,,,0.601255887,,0.516304348,0.89673913,0.640522876,hybrid,0.834,4.336,127,"Willie Nelson is a mostly sativa cannabis strain that is lauded for its euphoric, creative effects. The plants are sativa in their growing characteristics and should flower between 10 and 14 weeks. Flowers will be large but somewhat dense. Winner of the 2005 High Times Cannabis Cup in the sativa category, Willie Nelson has a fan base to rival its namesake's. Consumers love that this strain leaves them clear-headed, allowing them to perform artistic or social activities.",20,0.000906618,,0.000906618,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000757325,,0.000906618,0.00088626,,,0.000858227,,,7.39E-05,,0.00034016,,0.000717966,0.000906618,,0.000221727,,,0.000744366,,0.000906618,,0.000906618,,,0.00054511,,0.000468091,0.000813
2098,Willy Wonka,0,0,0.3,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,0.784103115,,0.022813688,0.460794844,,,0.577873255,,,1,,,0.718631179,0.936619718,0.926056338,,1,0.045627376,0.727175081,,,,0.98943662,,0.947183099,,,,,,,0.988593156,1,0.738562092,sativa,0.877777778,4.511111111,49,Willy Wonka is a sativa strain that took third place in the concentrates category of the 2014 Denver Cannabis Cup.,23,0.00234192,,,,,,,,,,,,,,,,,,,,,,0.00234192,,,,,,,,,0.00234192,,,,,,,,,,,,,,,0.001836307,,5.34E-05,0.001079145,,,0.001353333,,,0.00234192,,,0.001682977,0.002193489,0.00216875,,0.00234192,0.000106856,0.001702986,,,,0.002317182,,0.002218227,,,,,,,0.002315206,0.00234192
2099,Willy's Wonder,0,0,0.76,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.059659091,,0.465116279,1,,,0.489104116,1,,,,,0.472868217,,,0.019886364,,0.022727273,,0.375302663,,0.876513317,0.624806202,,0.742130751,,,,0.505426357,0.772727273,1,,indica,0.803811659,4.215246637,225,"Willy's Wonder, or William's Wonder to the more formal, is one of those cannabis strains of legendary status that you'll just have to try to fully appreciate. Indica-dominant with Afghani genetics, Willy's flowers are colorful with all possible hues of green, yellow, and red. The strain's aroma is an equally diverse mix of tropical fruit and citrus that also comes through in its sweet and sour taste. It was originally developed in the 1980s and has only grown in popularity and potency since then. New patients be warned, however, as this strain may be one to work up to.",,,,,,,,,,,,,0.001666667,,,,,,,0.001666667,,,,,,,,,,0.001666667,,,,,,,,,,,,,,,,,,,,9.94E-05,,0.000775194,0.001666667,,,0.000815174,0.001666667,,,,,0.000788114,,,3.31E-05,,3.79E-05,,0.000625504,,0.001460856,0.001041344,,0.001236885,,,,0.000842377,0.001287879,0.001666667
2100,Wonder Haze,3,0,0.4,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.2,0.916666667,0.111111111,1,0.95,,,0.777777778,,,,0.333333333,,,,,,,,,,,1,,0.983333333,,,,0.666666667,0.4,1,0.575163399,hybrid,0.8125,4.25,10,"Wonder Haze is a sativa-dominant hybrid strain that gives the mental cloudiness that haze lovers want along with a body buzz that helps with physical symptoms. This strain is a cross of Willy's Wonder and Super Silver Haze, two strains known for their strong cerebral effects. As time goes on, Wonder Haze mellows into a relaxed state that will make sleep easy.",18,,,0.000906618,,,0.000906618,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000815956,,0.000181324,0.000831067,0.000100735,0.000906618,0.000861287,,,0.000705148,,,,0.000302206,,,,,,,,,,,0.000906618,,0.000891508,,,,0.000604412,0.000362647,0.000906618
2101,Wonder Woman,3,0,0.5,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012453235,0.886473458,,1,,0.446690313,,0.97097178,,,0.151636449,,0.877862396,,0.76606998,0.160976375,,,,,1,0.754715041,0.899587919,,0.861044791,,,,,0.192109463,1,0.575163399,hybrid,0.865771812,4.463087248,149,"What makes Wonder Woman so wonderful? If you were to ask growers, they would say it's the plant's impressive high yields. If you were to ask users, they would probably cite the length of its sativa dominant buzz. Either way, this strain is a popular lady. Wonder Woman is a possible cross of Ice and another hybrid that can produce both a sativa and an indica dominant plant. Growing-wise, the sativa tends to grow taller than the indica, but both are prized for their very high yields and resilience. On average, plants will flower in 9 to 11 weeks, producing copious amounts of tight little buds that make for easy trimming. The flowers have a mostly skunky smell with notes of fruit and jet fuel that can be stronger or weaker, depending on the plant.",18,,,0.000906618,,,,,,,,,0.000906618,,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13E-05,0.000803693,,0.000906618,,0.000404978,,0.000880301,,,0.000137476,,0.000795886,,0.000694533,0.000145944,,,,,0.000906618,0.000684238,0.000815583,,0.000780639,,,,,0.00017417,0.000906618
