,strain,cluster,in_ocs,lean,sweet,strawberry,earthy,blue cheese,sage,honey,rose,tree fruit,violet,coffee,pear,spicy/herbal,tropical,pungent,tea,apricot,mint,pepper,flowery,ammonia,blueberry,berry,chemical,pine,woody,lime,plum,nutty,citrus,orange,mango,diesel,lemon,pineapple,apple,grape,menthol,chestnut,skunk,grapefruit,peach,butter,lavender,tar,tobacco,vanilla,focused,inflammation,dizzy,energetic,lack of appetite,happy,creative,muscle spasms,sleepy,stress,tingly,aroused,anxious,nausea,fatigue,cramps,uplifted,headache,talkative,paranoid,hungry,giggle,depression,relaxed,pain,seizures,euphoric,spasticity,eye pressure,headaches,insomnia,dry eyes,dry mouth,thc_scaled,strain_type,rating (scaled),Rating,NumReviews,Strain_description,THC,sweet_S,strawberry_S,earthy_S,blue cheese_S,sage_S,honey_S,rose_S,tree fruit_S,violet_S,coffee_S,pear_S,spicy/herbal_S,tropical_S,pungent_S,tea_S,apricot_S,mint_S,pepper_S,flowery_S,ammonia_S,blueberry_S,berry_S,chemical_S,pine_S,woody_S,lime_S,plum_S,nutty_S,citrus_S,orange_S,mango_S,diesel_S,lemon_S,pineapple_S,apple_S,grape_S,menthol_S,chestnut_S,skunk_S,grapefruit_S,peach_S,butter_S,lavender_S,tar_S,tobacco_S,vanilla_S,focused_S,inflammation_S,dizzy_S,energetic_S,lack of appetite_S,happy_S,creative_S,muscle spasms_S,sleepy_S,stress_S,tingly_S,aroused_S,anxious_S,nausea_S,fatigue_S,cramps_S,uplifted_S,headache_S,talkative_S,paranoid_S,hungry_S,giggle_S,depression_S,relaxed_S,pain_S,seizures_S,euphoric_S,spasticity_S,eye pressure_S,headaches_S,insomnia_S,dry eyes_S,dry mouth_S
0,$100 OG,0,0,0.5,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.271578812,,0.557309337,0.658570341,,0.541390221,0.978085871,1,,,0.353582944,,,,0.551632504,,,0.078722537,,,,1,0.700700878,,0.586763899,,,,0.629376588,0.575873483,1,,hybrid,0.745138889,3.980555556,506,"$100 OG is a 50/50 hybrid strain that packs a strong punch. The name supposedly refers to both its strength and high price when it first started showing up in Hollywood. As a plant, $100 OG tends to produce large dark green buds with few stems. Users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side.",,,,0.000906618,,,,,,,,,,,,,,,,0.000906618,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,,0.000246218,,0.000505267,0.000597072,,0.000490834,0.000886751,0.000906618,,,0.000320565,,,,0.00050012,,,7.14E-05,,,,0.000906618,0.000635268,,0.000531971,,,,0.000570604,0.000522097,0.000906618
1,'98 Aloha White Widow,2,0,0.57,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.680412371,,0.711340206,0.907216495,,,,,,1,,1,,,,,,,0.618556701,,1,0.24,,,,,,,,0.385964912,,hybrid,0.916666667,4.666666667,9,"The  98 Aloha White Widow is an especially potent cut of White Widow that has grown in renown alongside Hawaiian legends like Maui Wowie and Kona Gold. This White Widow phenotype reeks of diesel and skunk and has a rich earthy taste with intermittent notes of hash. Its buds are coated in trichomes, giving its dark foliage a lustrous glint to go along with its room-filling odor. This one-hitter-quitter uplifts the mind with mind-bending euphoria that materializes in the body as airy relaxation.  98 Aloha White Widow is available from Pua Mana 1st Hawaiian  Pakalolo  Seed Bank.",,,,,,,,,,,,,0.000906618,,,,,,,0.000906618,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,0.000616874,,0.000644914,0.000822499,,,,,,0.000906618,,0.000906618,,,,,,,0.000560795,,0.000906618,0.000217588,,,,,,,,0.000349923
2,1024,0,0,0.3,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.686098655,0.206185567,0.123444598,0.812866506,,1,,,,,,,0.021726249,,1,,,,,0.123444598,,,0.827167981,0.724042773,0.256215888,,0.803380476,0.172832019,,,,0.290341695,1,0.722222222,sativa,0.855555556,4.422222222,45,"1024 is a sativa-dominant hybrid bred in Spain by Medical Seeds Co. The breeders claim to guard the secret genetics due to security reasons, but regardless of its genetic heritage, 1024 is a THC powerhouse with a sweet and spicy bouquet. Subtle fruit flavors mix with an herbal musk to produce uplifting sativa effects. One specific phenotype is noted for having a pungent odor that fills a room, similar to burning incense.",22.5,0.00234192,,,,,,,,,,,0.00234192,0.00234192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001606788,0.00048287,0.000289097,0.001903669,,0.00234192,,,,,,,5.09E-05,,0.00234192,,,,,0.000289097,,,0.001937162,0.001695651,0.000600037,,0.001881453,0.000404759,,,,0.000679957,0.00234192
3,13 Dawgs,0,0,0.5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,0.666666667,0.285714286,,,,,0.285714286,,0.333333333,,1,0.666666667,0.285714286,0.333333333,,,1,,1,0.380952381,,,,,,0.666666667,,0.333333333,1,0.509803922,hybrid,0.75,4,10,"13 Dawgs is a hybrid of G13 and Chemdawg genetics bred by Canadian LP Delta 9 BioTech. The two potent strains mix to create a balance between indica and sativa effects. 13 Dawgs has a sweet earthy musk that brings a blend of woody citrus flavors. The effects of 13 Dawgs induce a happy, relaxed body buzz with a creative and focused mind that counters depression and stimulates the appetite.",16,,,,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,0.000906618,,,,,,,,,,,0.000906618,,,,,,,,,,,0.000604412,0.000259034,,,,,0.000259034,,0.000302206,,0.000906618,0.000604412,0.000259034,0.000302206,,,0.000906618,,0.000906618,0.000345378,,,,,,0.000604412,,0.000302206,0.000906618
4,22,0,0,0.54,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,0.673913043,,0.333333333,,0.666666667,,,,0.333333333,0.666666667,,0.695652174,,,,,,1,,,,0.52173913,,,,,,,,hybrid,0.714285714,3.857142857,7,"22 is a Jack Herer cross from Cali Connection. This extremely pungent fortification of Jack Herer yields fat buds packed with cannabinoids, making them prime starting material for extractors. Its aroma is a mixture of pine and floral notes with touches of spice on the finish. 22 benefits from a slightly longer flowering time, giving way to an abundant and flavorful yield just on the other side of 10 weeks.",,0.000906618,,,,,,,,,,,,,,,,,,,,,,,0.000906618,,,,,0.000906618,,,,,,,,,,,,,,,,,,0.000906618,,,0.000906618,,0.000610982,,0.000302206,,0.000604412,,,,0.000302206,0.000604412,,0.000630691,,,,,,0.000906618,,,,0.000473018,,,,,,
5,24k Gold,0,0,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,0.409387755,,0.38989899,1,0.66869648,0.392727273,,1,,,0.241632653,,,,0.950142721,0.244897959,,,,,0.808080808,0.922169363,,,0.538915319,,,0.303838384,,0.751428571,1,0.673202614,hybrid,0.895380435,4.581521739,184,"Also known as Kosher Tangie, 24k Gold is a 60% indica-dominant hybrid that combines the legendary LA strain Kosher Kush with champion sativa Tangie to create something quite unique. Growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. Most phenotypes will exhibit a sweet orange aroma from the Tangie along with the dark coloration of the Kosher Kush, and will offer a strong citrus flavor when smoked or vaped. THC levels range from 18% to 24%; definitely not for novice users!",21,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000906618,0.000906618,,,,,,,,,,,,,,,,,,,0.000371158,,0.00035349,0.000906618,0.000606252,0.000356054,,0.000906618,,,0.000219069,,,,0.000861417,0.000222029,,,,,0.000732621,0.000836056,,,0.00048859,,,0.000275465,,0.000681259,0.000906618
6,3 Bears OG,1,0,0.93,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.838926174,0.677852349,0.5,0.677852349,1,,,,,,,,0.094339623,,,,,,1,1,,0.644295302,,,,0.5,0.094339623,1,,indica,0.857142857,4.428571429,7,"3 Bears OG by Mephisto Genetics is an autoflowering cross of Bear OG, Karma's OG Cut, and Triangle Kush. This indica-dominant strain generates pungent, flavorful buds in a smaller, more manageable plant size. Mephisto Genetics describes 3 Bears OG as a cornerstone to their artisanal collection, blending the best attributes of the fabled OG Kush with a compact, controllable growth structure. The 3 Bears OG has an approximate 70-day growth cycle and offers effects that stimulate the appetite while leading the body toward sleep.",,0.001666667,,0.001666667,,,,,,,,,,,0.001666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001666667,0.00139821,0.001129754,0.000833333,0.001129754,0.001666667,,,,,,,,0.000157233,,,,,,0.001666667,0.001666667,,0.001073826,,,,0.000833333,0.000157233,0.001666667
7,3 Kings,3,0,0.29,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0.714630263,0.447902087,0.382663022,,,0.942923711,,,,1,,,0.599433815,0.555183229,,,0.566155809,,,0.603670441,,,0.725733784,1,0.633123219,,0.643855664,,,,,0.236294416,1,,sativa,0.853559871,4.414239482,312,"The 3 Kings marijuana strain, a holy trinity of Headband, Sour Diesel, and OG Kush, is a sativa-dominant hybrid and genetic masterpiece. Sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 Kings' potency. Medical patients will appreciate the versatility of this strain's medicinal effects as it relieves pain, stress, and nausea without heavy sedation.",,,,0.00234192,,,,,,,,,,,,,,,,,,,,,0.00234192,0.00234192,,,,,,,,,,,,,,,,,,,,,,0.001673607,0.001048951,0.000896166,,,0.002208252,,,,0.00234192,,,0.001403826,0.001300195,,,0.001325892,,,0.001413748,,,0.001699611,0.00234192,0.001482724,,0.001507859,,,,,0.000553383,0.00234192
8,303 OG,0,0,0.6,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.268678161,,0.103225806,,,,0.747126437,,,0.525345622,,,0.051612903,,0.907834101,,0.981321839,,,,,,0.500768049,1,1,,0.827586207,,,0.944700461,,0.15483871,1,0.673202614,hybrid,0.822368421,4.289473684,79,"The indica-dominant 303 OG is a Colorado strain bred by crossing Pre-98 Bubba Kush and Chemdawg. Its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. Its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. The happy euphoria induced by 303 OG may help patients treating depression, anxiety, and stress disorders.",21,0.000906618,,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,0.000243589,,9.36E-05,,,,0.000677359,,,0.000476288,,,4.68E-05,,0.000823059,,0.000889684,,,,,,0.000454005,0.000906618,0.000906618,,0.000750305,,,0.000856483,,0.00014038,0.000906618
9,3D CBD,2,0,0.34,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0.276923077,0.6,,,,0.415384615,,0.6,,0.7,,,,,,,1,,0.769230769,,,,,0.507692308,1,,,,,,0.4,0.5,1,,sativa,0.9,4.6,20,"3D CBD from Snoop Dogg's branded line of cannabis strains was crafted with patients in mind. With a THC:CBD ratio of about 5:8, this earthy-flavored sativa is preferred for treating pain, inflammation, and muscle tension. Consumers susceptible to THC-induced anxiety may also appreciate the sobering, relaxing balance CBD has to offer.",,,,,,,,,,,,,,,,0.00234192,,,,,,,,,0.00234192,0.00234192,,,,,,,,,,,,,,,,,,,,,,0.000648532,0.001405152,,,,0.000972798,,0.001405152,,0.001639344,,,,,,,0.00234192,,0.001801477,,,,,0.001188975,0.00234192,,,,,,0.000936768,0.00117096,0.00234192
10,3X Crazy,1,0,0.71,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.459768745,0.057200201,,0.316009059,0.657415885,,,0.726997024,1,0.501106279,,0.174611139,,,,,,,0.155544405,,,,1,0.779552589,,0.496089876,,,,0.632018119,0.779026593,1,,indica,0.847222222,4.388888889,127,"Also known as Optimus Prime, the indica-dominant 3X Crazy is a three-way cross between OG Kush, Bubba Kush, and Granddaddy Purple. Its aroma is comprised of sweet grape, spicy pepper, and earthy notes passed on by its Bubba Kush parent. This indica can cover the consumer in soothing full-body effects, but not before a brief phase of clear-headed cerebral sizzle. The relaxing effects induced by 3X Crazy may potentially assist pain, spasms, tension, and insomnia.",,,,0.001666667,,,,,,,,,,,,,,,0.001666667,,,,,,,0.001666667,,,,,,,,,,,,,,,,,,,,,,,0.000766281,9.53E-05,,0.000526682,0.001095693,,,0.001211662,0.001666667,0.000835177,,0.000291019,,,,,,,0.000259241,,,,0.001666667,0.001299254,,0.000826816,,,,0.001053364,0.001298378,0.001666667
11,3rd Coast Panama Chunk,0,0,0.55,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,0.785714286,,0.24,,0.24,,,,0.892857143,,,,,,,1,,0.12,,,,1,,1,,,,,0.892857143,,,,,hybrid,0.888888889,4.555555556,9,"3rd Coast Panama Chunk by Bedford Grow is a cross between East Coast Panama Chunk (Panama F7 x Deep Chunk) and Sour Diesel. This vigorous strain creates dense, resinous buds that reek of pine and fuel. Panama Chunk is a potent and versatile hybrid that provides immediate mood elevation and stress relief, making it ideal after a long day. The strain's varied cerebral and physical effects help consumers abate anxiety and insomnia while also tending to migraines and muscular pain.",,,,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,0.000906618,,,0.000906618,,,,,,,,,,,,,,,,0.000712343,,0.000217588,,0.000217588,,,,0.000809481,,,,,,,0.000906618,,0.000108794,,,,0.000906618,,0.000906618,,,,,0.000809481,,,
12,501st OG,3,0,0.709881964,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.411144578,,0.013550136,,,,0.377008032,,,1,,,0.013550136,0.667011375,0.701137539,,0.736445783,0.033875339,,,,,,1,0.940020683,,0.633534137,,,0.742502585,,0.891598916,1,0.673202614,indica,0.893203883,4.572815534,103,"501st OG, bred by Rare Dankness, is an indica-dominant hybrid that crosses Skywalker OG with Rare Dankness #1. The colorful flowers are tinged with a wide spectrum of green, blue, red, and purple hues that give off a deep piney kush aroma that mixes with the sweetness of grape flavors. The potent indica effects make 501st OG a great nighttime strain to help with pain relief and trouble sleeping.",21,0.001666667,,0.001666667,,,,,,,,,,,0.001666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000685241,,2.26E-05,,,,0.000628347,,,0.001666667,,,2.26E-05,0.001111686,0.001168563,,0.00122741,5.65E-05,,,,,,0.001666667,0.001566701,,0.00105589,,,0.001237504,,0.001485998,0.001666667
13,5th Element,0,0,0.534549318,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.459962756,0.052398227,,0.620732464,0.773221117,,0.689944134,,1,,,,,,,0.519739862,0.193873438,,0.246271665,0.526702372,,,1,0.689944134,,0.896403979,,,,,1,0.738814994,0.673202614,hybrid,0.885,4.54,50,"Elemental Seeds crossed Blackberry with All Spark OG to create this impressive strain. 5th Element produces huge yields of sticky buds that feature a powerful earthy, lemony smell and flavor. The effects are quite strong with a good mix of cerebral and body highs.",21,,,0.000906618,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,0.000417011,4.75E-05,,0.000562767,0.000701016,,0.000625516,,0.000906618,,,,,,,0.000471206,0.000175769,,0.000223274,0.000477518,,,0.000906618,0.000625516,,0.000812696,,,,,0.000906618,0.000669823
14,707 Headband,0,0,0.5,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.37772193,0.097835704,,,0.703212074,0.575467157,0.358348312,,0.83758291,,,,,,,0.617182403,0.092731233,,0.105492411,,,0.777935071,1,1,,0.823469639,,,,,0.341148846,1,0.607843137,hybrid,0.836956522,4.347826087,351,"This strain emerged from the Humboldt County, California and that area's telephone area code is the source of its numerical moniker. It's a cross between Sour Diesel, OG Kush and Master Kush. 707 Headband plants flower in 9 to 11 weeks and usually have large yields. An indica dominant hybrid, this strain is known to have high THC levels and can be strong, but it's balanced enough to leave most users feeling  heady  and creative rather than sleepy. Because of this, it's often used to treat tension and anxiety.",19,0.000906618,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,,0.00034245,8.87E-05,,,0.000637545,0.000521729,0.000324885,,0.000759368,,,,,,,0.000559549,8.41E-05,,9.56E-05,,,0.00070529,0.000906618,0.000906618,,0.000746573,,,,,0.000309292,0.000906618
15,8 Ball Kush,1,0,1,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.533081285,0.009057971,,,1,,,0.399468556,0.533081285,,,,,,,0.43489814,0.018115942,,0.009057971,0.41275465,,0.761814745,0.937112489,1,,,,,,0.52362949,0.036231884,1,0.591503268,indica,0.853773585,4.41509434,56,"Bred by Barney's Farm, 8 Ball Kush is a pure indica variety descended from an Afghani landrace strain. Like many other cannabis varieties that come from the Hindu Kush region, 8 Ball Kush produces large amounts of crystal resin that blanket the buds. Its aroma is earthy and spicy, and you may find its effects to be more cerebrally stimulating than the average indica. A hardy and resilient plant, 8 Ball Kush has a 50 to 60 day flowering time indoors while outdoor gardens finish at the end of September.",18.5,,,0.001666667,,,,,,,,,0.001666667,,,,,,,,0.001666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000888469,1.51E-05,,,0.001666667,,,0.000665781,0.000888469,,,,,,,0.00072483,3.02E-05,,1.51E-05,0.000687924,,0.001269691,0.001561854,0.001666667,,,,,,0.000872716,6.04E-05,0.001666667
16,818 OG,2,0,0.7,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.966887417,,,0.622516556,0.971910112,0.32781457,,,0.514044944,,,,,,0.25,,,0.556179775,1,1,,0.360927152,,,,1,0.75,1,0.607843137,indica,0.939655172,4.75862069,29,"Named after the telephone area code of the San Fernando Valley in Los Angeles, 818 OG is an OG Kush strain popular with patients for treating pain, loss of appetite, and insomnia. Not to be confused with the other OG cut named for the locale, the 818 OG has a very fruity flavor that is quite different from the sour, earthy fuel taste found in the SFV OG.",19,0.001666667,,,,,,,,,,,,,0.001666667,,,,,0.001666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001611479,,,0.001037528,0.00161985,0.000546358,,,0.000856742,,,,,,0.000416667,,,0.000926966,0.001666667,0.001666667,,0.000601545,,,,0.001666667,0.00125,0.001666667
17,831 OG,2,0,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.571428571,,,,0.727272727,,,1,,0.363636364,,,,,,0.571428571,,,1,,0.571428571,1,1,,0.727272727,,0.571428571,,1,,1,,indica,1,5,7,"831 OG, aka Santa Cruz OG, is an indica-dominant strain developed by 831 Organiks. Created by crossing the rare and potent Inferno F1 cut with the West Coast mainstay, SFV OG, this combination of heavyweight indicas imbues consumers with deep relaxation that borders on sleepy, especially with continued consumption. The aroma is pure fuel while the flavor opens up with notes of pine, earth, and lemon. Enjoy this strain near the end of the day, but beware, this strain has been known to reach toward 30% THC.",,,,,0.001666667,,,,,,,,,,,,,,,,0.001666667,,,,,,,,,,,,0.001666667,,,,,,,,,,,,,,,,,0.000952381,,,,0.001212121,,,0.001666667,,0.000606061,,,,,,0.000952381,,,0.001666667,,0.000952381,0.001666667,0.001666667,,0.001212121,,0.000952381,,0.001666667,,0.001666667
18,9 Pound Hammer,0,0,0.8,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.351737846,,,0.440316114,,0.446598473,0.791630049,0.895759438,,,0.115956457,,,,,0.263311165,,,0.310031223,,0.685211588,1,1,,0.42173201,,,,0.824927698,0.692056935,1,0.705882353,indica,0.88622291,4.544891641,648,"9 Pound Hammer is an 80% indica strain created by JinxProof Gentics that crosses Gooberry, Hells OG, and Jack the Ripper. These dense buds are coated in resin, offering sweet grape and lime flavors. True to its indica dominance, effects are heavy and long-lasting, useful for pain and stress relief. Best grown indoors, 9 Pound Hammer will deliver a heavy yield, flowering between 50 and 60 days.",22,0.001666667,,0.001666667,,,,,,,,,,,,,,,,,,,,,,,,,,0.001666667,,,,,,,,,,,,,,,,,,,,0.00058623,,,0.00073386,,0.000744331,0.001319383,0.001492932,,,0.000193261,,,,,0.000438852,,,0.000516719,,0.001142019,0.001666667,0.001666667,,0.000702887,,,,0.001374879,0.001153428,0.001666667
19,91 Krypt,3,0,0.83,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.666666667,,0.666666667,0.862068966,0.793103448,,,1,,,,,0.5,,,,,,,0.793103448,0.833333333,1,,,0.862068966,,,,0.5,0.333333333,1,,indica,0.958333333,4.833333333,12,"91 Krypt by DNA Genetics is a potent strain by many names. Bred from the Chemdawg  91 stock crossed with DNA's famous Captain Krypt OG, this strain was created for high potency cannabis consumers. It emits a deep, dank terpene profile that fills the room with skunk and swampy earth. With a THC content pushing over 20% on average, enjoy 91 Krypt to stimulate appetite while harnessing full body relaxation.",,,,0.001666667,,,,,,,,,,,0.001666667,,,,,,,,,,,,,,,,,,0.001666667,,,,,,,,,,,,,,,,,0.001111111,,0.001111111,0.001436782,0.001321839,,,0.001666667,,,,,0.000833333,,,,,,,0.001321839,0.001388889,0.001666667,,,0.001436782,,,,0.000833333,0.000555556,0.001666667
20,A-10,0,0,0.9,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,0.06840796,,0.507260407,0.468523002,,,0.423123487,,,,0.645522388,0.61374637,,,,,,0.080845771,1,,,0.646489104,,,0.812953995,,1,0.502420136,0.715392062,0.875621891,1,0.575163399,indica,0.713114754,3.852459016,161,"A-10 has an earthy, hashy taste that provides a very heavy body stone.  Frequently used to treat insomnia and chronic pain.",18,,,,,,,,,,,,,,0.001666667,,,,,,,,,,,,,,,0.001666667,,,,,,,,,,0.001666667,,,,,,,,,,0.000114013,,0.000845434,0.000780872,,,0.000705206,,,,0.001075871,0.001022911,,,,,,0.000134743,0.001666667,,,0.001077482,,,0.001354923,,0.001666667,0.000837367,0.00119232,0.00145937,0.001666667
21,A-Dub,3,0,0.5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,0.437741013,,,0.870472535,,,0.036627907,0.654113696,,,0.727951238,0.036627907,,,,,0.825137923,0.754820251,1,,0.774972011,,,0.654113696,,0.926744186,1,0.803921569,hybrid,0.862903226,4.451612903,62,"Coming from the ever-popular Sour Diesel, OG Kush, and Chemdawg family tree, A-Dub has a solid reputation for its potency. This hybrid produces a well-balanced effect, creating a euphoric, happy buzz that is a great influence when expressing your creativity. Sour Double (a Sour Diesel/Sour Bubble cross) and Alien Dawg (Alien Technology crossed with Chemdawg) combine to birth this magnificent flower.",25,0.000906618,,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,,,0.000906618,0.000396864,,,0.000789186,,,3.32E-05,0.000593031,,,0.000659974,3.32E-05,,,,,0.000748085,0.000684334,0.000906618,,0.000702604,,,0.000593031,,0.000840203,0.000906618
22,A-Train,3,0,0.5,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.913385827,,0.451612903,1,0.213823529,,,1,0.779705882,,0.015748031,,,,,,,0.035433071,,,0.741935484,0.217058824,0.709677419,,0.857352941,,,,0.483870968,0.043307087,1,0.509803922,hybrid,0.773648649,4.094594595,77,A-Train is a hybrid between Mazar I Sharif and the clone-only Arcata e-32 Trainwreck.  This hybrid gives you the classic stoned feeling.  Be ready for smiles and munchies when you jump on the A-Train.,16,,,0.000906618,,,,,,,,,0.000906618,,,,,,,0.000906618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000828092,,0.000409441,0.000906618,0.000193856,,,0.000906618,0.000706896,,1.43E-05,,,,,,,3.21E-05,,,0.000672652,0.00019679,0.000643407,,0.000777292,,,,0.000438686,3.93E-05,0.000906618
23,ACDC,3,0,0.375,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0.745094367,0.693892088,,0.371377161,,0.769939536,,,,0.944006642,,,0.47179265,,0.406466433,,0.694667049,0.335947824,,0.239418284,,,0.609666839,1,1,,,,,,,0.377394488,1,0.019607843,hybrid,0.877761414,4.511045655,690,"ACDC is a sativa-dominant phenotype of the high-CBD cannabis strain, Cannatonic. One remarkable characteristic of ACDC is its THC:CBD ratio of 1:20, meaning this strain induces little to no intoxicating effects. Tests have put ACDC's CBD content as high as 19%, which helps many patients treat pain, anxiety, epilepsy, multiple sclerosis, and the negative effects of chemotherapy, all with a clear head.",1,,,0.000906618,,,,,,,,,,,,,,,,,,,,,0.000906618,0.000906618,,,,,,,,,,,,,,,,,,,,,,0.000675516,0.000629095,,0.000336697,,0.000698041,,,,0.000855854,,,0.000427736,,0.00036851,,0.000629798,0.000304576,,0.000217061,,,0.000552735,0.000906618,0.000906618,,,,,,,0.000342153,0.000906618
24,AK-47,3,0,0.4,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,0.132218853,,,0.999897964,0.706960122,,,1,,,0.132744626,,0.56248682,,0.767227639,0.106155749,,,,,0.665430387,1,0.60523908,,0.819654168,,,,0.48598648,0.532361768,1,0.444444444,hybrid,0.798184358,4.19273743,2614,"Don't let its intense name fool you: AK-47 will leave you relaxed and mellow. This sativa-dominant hybrid delivers a steady and long-lasting cerebral buzz that keeps you mentally alert and engaged in creative or social activities. AK-47 mixes Colombian, Mexican, Thai, and Afghani varieties, bringing together a complex blend of flavors and effects. While AK-47's scent is sour and earthy, its sweet floral notes can only be fully realized in the taste. Created in 1992 by Serious Seeds, AK-47 has won numerous Cannabis Cup awards around the world for its soaring THC content. For those hoping to fill their gardens with this resinous, skunky hybrid, growers recommend an indoor environment with either soil or hydroponic setups. AK-47 is easy to grow and has a short indoor flowering time of just 53 to 63 days, while outdoor plants typically finish toward the end of October.",14,,,0.000906618,,,,,,,,,,,,,,,,,,,,,,0.000906618,,,,,,,,,,,,,,0.000906618,,,,,,,,,,0.000119872,,,0.000906526,0.000640943,,,0.000906618,,,0.000120349,,0.000509961,,0.000695583,9.62E-05,,,,,0.000603291,0.000906618,0.000548721,,0.000743113,,,,0.000440604,0.000482649,0.000906618
25,AK-48,0,0,0.5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,0.088004191,,,1,0.658340972,,,0.981670061,,,,0.490427699,,,0.890696609,0.050288109,,0.094290204,,,1,0.775893676,0.718940937,,0.647800183,,,,0.514867617,0.8617077,1,0.019607843,hybrid,0.756944444,4.027777778,191,"Although it is a hybrid, the AK-48 high leans more towards typical sativa effects. AK-48's lineage is a mixture of Colombian Gold x Thai x Mexican x Afghani.",1,,,,,,,,,,,,,,,,,,,0.000906618,,,,,,,,,,0.000906618,0.000906618,,,,,,,,,,,,,,,,,,,7.98E-05,,,0.000906618,0.000596864,,,0.00089,,,,0.000444631,,,0.000807522,4.56E-05,,8.55E-05,,,0.000906618,0.000703439,0.000651805,,0.000587308,,,,0.000466788,0.00078124,0.000906618
